Address,Price,Sold Date,Agent Phone
"9725 CONCORD RD, Brentwood (086), TN",N/A,2025-10-29,N/A
"3798 BEAR CREEK RD, Unincorporated (000), TN",N/A,2025-11-29,N/A
"6656 EUDAILEY-COVINGTON RD, Unincorporated (000), TN",TR1,2025-11-26,N/A
"505 CHELTENHAM AVE, Franklin (263967), TN","$591,000",2025-12-12,N/A
"2847 MCCANLESS RD, Unincorporated (000), TN",N/A,2025-10-11,N/A
"820 HIGHGROVE CIR, Unincorporated (000), TN","$608,000",2025-10-16,N/A
"7133 BOLTON ST, Franklin (263967), TN","$2,567,000",2025-11-14,N/A
"204 WESTFIELD DR, Franklin (263264), TN","$59,000",2025-10-16,N/A
"7201 COLD HARBOR CT, Fairview (255), TN","$6,000",2025-10-21,N/A
"6782 FLAT CREEK RD, Unincorporated (000), TN",N/A,2025-10-29,N/A
"6784 FLAT CREEK RD, Unincorporated (000), TN",N/A,2025-10-29,N/A
"3008 ROMAIN TRL, Spring Hill (701), TN","$231,000",2025-11-20,N/A
"512 JUSTIN DR, Franklin (263264), TN","$61,000",2025-10-13,N/A
"1367 ELIOT RD, Franklin (263967), TN",N/A,2025-11-13,N/A
"517 SYDENHAM DR, Franklin (263967), TN","$134,000",2025-12-10,N/A
"7616 HUDLOW CT, Fairview (255), TN","$82,000",2025-10-10,N/A
"410 DABNEY DR, Franklin (263967), TN","$87,000",2025-12-04,N/A
"106 ASHTON PARK BLVD, Franklin (263967), TN","$1,000",2025-10-24,N/A
"7765 BARNHILL RD, Unincorporated (000), TN",TR1,2025-10-08,N/A
"7624 HUDLOW CT, Fairview (255), TN","$84,000",2025-10-09,N/A
"7250 FIDDLERS GLEN DR, Unincorporated (000), TN","$114,000",2025-10-14,N/A
"7300 HARLOW DR, Unincorporated (000), TN","$275,000",2025-10-14,N/A
"7804 THURSTON CT, Unincorporated (000), TN","$330,000",2025-10-23,N/A
"3126 TRISTAN DR, Franklin (263967), TN","$1,154,000",2025-11-18,N/A
"6504 HIDDEN HOLLOW TRL, Unincorporated (000), TN","$18,000",2025-10-07,N/A
"7569 TRIDENT RIDGE PVT RD, Unincorporated (000), TN",N/A,2025-12-18,N/A
"305 ABRAM CT, Franklin (263264), TN","$57,000",2025-11-12,N/A
"213 9TH AVE S, Franklin (263264), TN","$2,000",2025-10-20,N/A
"2724 VILLAGE DR, Thompson's Station (718), TN","$515,000",2025-12-08,N/A
"7005 SAN GILBERTO CT, Spring Hill (701), TN","$55,000",2025-11-14,N/A
"7164 NOLEN PARK CIR, Nolensville (535), TN","$44,000",2025-11-18,N/A
"9352 TREE LINE CT, Brentwood (086), TN","$58,000",2025-12-19,N/A
"2503 PENNY LN, Spring Hill (701), TN","$116,000",2025-12-09,N/A
"6413 TRAILS END RD, Unincorporated (000), TN",N/A,2025-11-14,N/A
"636 GRANGE HILL CT, Franklin (263264), TN","$70,000",2025-10-09,N/A
"2734 PADDOCK PARK DR, Thompson's Station (718), TN","$1,036,000",2025-12-15,N/A
"7248 MURREL DR, Unincorporated (000), TN","$412,000",2025-11-14,N/A
"665 CONIFER DR, Spring Hill (701), TN","$275,000",2025-12-18,N/A
"405 HERRINGBONE CT, Franklin (263264), TN","$3,000",2025-12-18,N/A
"662 CONIFER DR, Spring Hill (701), TN","$286,000",2025-10-24,N/A
"5848 GARRISON RD, Unincorporated (000), TN",$A & $B,2025-11-04,N/A
"1201 NATCHEZ RD, Unincorporated (000), TN","$105,000",2025-10-21,N/A
"1754 TUSCANY WAY, Brentwood (086), TN","$80,000",2025-12-10,N/A
"120 CAVALCADE DR, Franklin (263967), TN","$221,000",2025-12-11,N/A
"9524 GRAND HAVEN DR, Brentwood (086), TN","$75,000",2025-11-12,N/A
"2061 AUTUMN RIDGE WAY, Spring Hill (701), TN","$246,000",2025-12-08,N/A
"7161 CEDARCREST LN, Fairview (255), TN","$15,000",2025-12-17,N/A
"2206 OAKLEAF CT, Unincorporated (000), TN","$86,000",2025-12-04,N/A
"1006 DOVECREST WAY, Franklin (263967), TN","$48,000",2025-11-05,N/A
"2010 CEDARMONT DR, Unincorporated (000), TN","$2,000",2025-11-17,N/A
"631 WEYBRIDGE DR, Nolensville (535), TN","$81,000",2025-10-23,N/A
"9526 NOTTAWAY LN, Brentwood (086), TN","$204,000",2025-10-13,N/A
"2920 AVENUE DOWNS DR, Thompson's Station (718), TN","$203,000",2025-12-16,N/A
"9600 CONCORD RD, Brentwood (086), TN","$1,000",2025-10-21,N/A
"233 SPENCER CREEK RD, Franklin (263967), TN",N/A,2025-11-17,N/A
"7620 BARNHILL RD, Unincorporated (000), TN",N/A,2025-12-16,N/A
"697 WATSON BRANCH DR, Franklin (263264), TN","$192,000",2025-12-10,N/A
"7141 CEDARCREST LN, Fairview (255), TN","$10,000",2025-10-15,N/A
"6737 SCHWARTZ WAY, Unincorporated (000), TN","$103,000",2025-11-21,N/A
"3005 CANAL ST, Unincorporated (000), TN",N/A,2025-10-30,N/A
"7287 ORRINSHIRE DR, Fairview (255), TN","$19,000",2025-10-30,N/A
"TRINITY RD, Unincorporated (000), TN",TR 1,2025-11-12,N/A
"409 CHELSEY CV, Franklin (263264), TN","$514,000",2025-11-07,N/A
"768 ALAMEDA AVE, Nolensville (535), TN","$40,000",2025-10-24,N/A
"1556 WHITE BARN WAY, Brentwood (086), TN","$24,000",2025-11-12,N/A
"706 FONTWELL LN, Franklin (263967), TN","$1,014,000",2025-10-24,N/A
"5013 W CONCORD RD, Brentwood (086), TN","$64,000",2025-10-14,N/A
