Address,Price,Sold Date,Agent Phone
"ADEN RD, Unincorporated (000), TN","$29,000",2025-11-14,N/A
"1407 BOWMAN LN, Brentwood (086), TN","$132,000",2025-10-20,N/A
"1013 ROCHELLE AVE, Thompson's Station (718), TN","$702,000",2025-10-24,N/A
"7294 ORRINSHIRE DR, Fairview (255), TN","$10,000",2025-11-18,N/A
"7804 DICE LAMPLEY RD, Fairview (255), TN","$102,000",2025-12-15,N/A
"7802 DICE LAMPLEY RD, Fairview (255), TN","$101,000",2025-12-15,N/A
"2709 OTTERHAM DR, Thompson's Station (718), TN","$134,000",2025-12-08,N/A
"153 GENERALS RETREAT PL, Franklin (263264), TN","$153,000",2025-10-15,N/A
"515 CRAFTON AVE, Franklin (263264), TN","$48,000",2025-11-25,N/A
"1330 MALLARD DR, Franklin (263264), TN","$94,000",2025-11-05,N/A
"109 HAMPSTED LN, Franklin (263967), TN","$1,944,000",2025-12-14,N/A
"102 FOXBOROUGH SQ W, Brentwood (086), TN","$102,000",2025-10-30,N/A
"8240 ASHBURY CT, Unincorporated (000), TN","$452,000",2025-12-10,N/A
"4514 HYANNIS CT, Unincorporated (000), TN","$122,000",2025-12-12,N/A
"9005 POINTE CROSS LN, Brentwood (086), TN","$6,000",2025-11-11,N/A
"CROCKETT RD, Brentwood (086), TN",N/A,2025-12-09,N/A
"CHURCH CT, Brentwood (086), TN",N/A,2025-12-09,N/A
"1880 PORTWAY RD, Spring Hill (701), TN","$313,000",2025-10-16,N/A
"404 LIVELY WAY, Nolensville (535), TN","$62,000",2025-11-03,N/A
"7018 MAYFLOWER CIR, Brentwood (086), TN","$37,000",2025-10-09,N/A
"1074 AMELIA PARK DR, Franklin (263967), TN","$72,000",2025-12-01,N/A
"7309 A COX PK, Fairview (255), TN",001A,2025-12-15,N/A
"1702 OLD HILLSBORO RD, Unincorporated (000), TN",N/A,2025-12-01,N/A
"303 OBERLIN CT, Franklin (263967), TN","$294,000",2025-12-16,N/A
"713 HAMPTON CV, Franklin (263264), TN","$829,000",2025-10-22,N/A
"900 VINTAGE GREEN LN 302, Franklin (263967), TN",24 UNIT 302,2025-12-15,N/A
"9521 MIDLOTHIAN DR, Brentwood (086), TN","$31,000",2025-11-04,N/A
"818 CHELTENHAM AVE, Franklin (263967), TN","$2,090,000",2025-12-01,N/A
"1737 RICHBOURG PARK DR, Brentwood (086), TN","$101,000",2025-10-30,N/A
"2255 DEWEY DR, Spring Hill (701), TN","$43,000",2025-10-29,N/A
"LOGANS CIR, Franklin (263264), TN",N/A,2025-10-31,N/A
"217 OLD PEYTONSVILLE RD, Unincorporated (000), TN","$13,000",2025-10-22,N/A
"3025 CORAL BELL LN, Franklin (263967), TN","$92,000",2025-11-21,N/A
"9198 HOLSTEIN DR, Unincorporated (000), TN","$311,000",2025-10-10,N/A
"622 HUNTERS LN, Brentwood (086), TN","$150,000",2025-10-16,N/A
"7621 FERNVALE RD, Unincorporated (000), TN",N/A,2025-11-05,N/A
"8633 BELLADONNA DR, Unincorporated (000), TN","$7,032,000",2025-10-21,N/A
"7063 SUNRISE CIR, Franklin (263264), TN","$7,063,000",2025-10-07,N/A
"3065 INMAN DR, Thompson's Station (718), TN","$1,934,000",2025-10-23,N/A
"1201 KNOX VALLEY DR, Brentwood (086), TN","$414,000",2025-11-25,N/A
"620 GRANGE HILL CT, Franklin (263264), TN","$74,000",2025-10-27,N/A
"2073 DINAN CT, Spring Hill (701), TN","$342,000",2025-12-09,N/A
"6816 DRUMRIGHT HILL PVT LN, Unincorporated (000), TN","$2,000",2025-10-29,N/A
"8084 MOUNTAINTOP DR, Unincorporated (000), TN","$16,044",2025-10-22,N/A
"2639 DANBURY CIR, Spring Hill (701), TN","$407,000",2025-10-28,N/A
"106 MOSS LN, Unincorporated (000), TN","$191,000",2025-10-28,N/A
"612 CLOVERBROOK LN, Franklin (000264), TN","$43,000",2025-10-10,N/A
"3006 CORAL BELL LN, Franklin (263967), TN","$22,000",2025-10-24,N/A
"6035 LOOKAWAY CIR, Unincorporated (000), TN","$322,000",2025-10-31,N/A
"1608 KNOX DR, Brentwood (086), TN","$429,000",2025-10-10,N/A
"709 LANGFORD CT, Franklin (000264), TN","$47,000",2025-10-17,N/A
"2310 FAIRVIEW BLVD, Fairview (255), TN","$2,000",2025-11-12,N/A
"7116 BONTERRA DR, Unincorporated (000), TN","$105,000",2025-11-21,N/A
"7508 ATWATER CIR, Fairview (255), TN",N/A,2025-10-31,N/A
"305 SADDLE BRIDGE LN, Franklin (263967), TN","$794,000",2025-12-29,N/A
"7289 FIDDLERS GLEN DR, Unincorporated (000), TN","$149,000",2025-11-19,N/A
"2035 WILSON PK, Unincorporated (000), TN",N/A,2025-11-19,N/A
"2031 WILSON PK, Unincorporated (000), TN",N/A,2025-11-19,N/A
"1830 KETTERING TR, Brentwood (086), TN","$96,000",2025-12-08,N/A
"107 BRILLIANTINE CIR, Franklin (263264), TN","$14,000",2025-11-14,N/A
"8209 HOLLY RD, Brentwood (086), TN","$4,000",2025-11-20,N/A
"1549 W HARPETH RD, Unincorporated (000), TN","$1,000",2025-12-01,N/A
"744 NEWCOMB ST, Franklin (263967), TN","$714,000",2025-10-30,N/A
"2043 FLOWING CREEK DR, Franklin (263967), TN","$319,000",2025-11-13,N/A
"203 SCRUGGS AVE, Franklin (263264), TN",N/A,2025-11-20,N/A
"6409 WILDWOOD VALLEY DR, Brentwood (086), TN","$20,000",2025-10-10,N/A
"1055 BECKWITH ST, Franklin (263967), TN","$2,019,000",2025-10-30,N/A
"712 TYNESIDE CIR, Brentwood (086), TN",N/A,2025-11-21,N/A
"782 HIGH POINT RIDGE RD, Unincorporated (000), TN",N/A,2025-10-09,N/A
"5007 CONGRESS DR, Franklin (263967), TN","$2,698,000",2025-11-20,N/A
"1598 EASTWOOD DR, Brentwood (086), TN","$111,000",2025-12-03,N/A
"312 BEL AIRE DR, Franklin (263264), TN","$4,000",2025-10-21,N/A
"9016 CARONDELET PL, Brentwood (086), TN","$10,000",2025-10-28,N/A
"3801 SOMERS LN, Thompson's Station (718), TN","$135,000",2025-11-26,N/A
"2019 HAMILTON WAY, Franklin (263967), TN","$20,000",2025-12-11,N/A
"1000 CHAMPIONSHIP BLVD, Franklin (263967), TN","$2,751,000",2025-11-24,N/A
"3072 POPLAR FARMS DR, Franklin (263967), TN","$103,000",2025-11-26,N/A
"7102 SUNRISE CIR, Franklin (263264), TN","$7,102,000",2025-11-03,N/A
"321 DEEP CREEK DR, Spring Hill (701), TN","$156,000",2025-11-12,N/A
"347 SHADOW CREEK DR, Brentwood (086), TN","$401,000",2025-11-21,N/A
"5003 BURTONWOOD WAY, Spring Hill (701), TN","$209,000",2025-12-01,N/A
"WILSON RIDGE PVT LN, Unincorporated (000), TN",N/A,2025-11-05,N/A
"6768 FLAT CREEK RD, Unincorporated (000), TN",N/A,2025-11-03,N/A
"139 TELFAIR LN, Nolensville (535), TN","$9,000",2025-11-04,N/A
"2202 PADEN RD, Nolensville (535), TN","$44,000",2025-11-13,N/A
"1317 SAYBROOK CROSSING, Spring Hill (701), TN","$241,000",2025-12-09,N/A
"414 PARISH PL, Franklin (263967), TN","$72,000",2025-10-23,N/A
"167 HEATHERSETT DR, Franklin (263967), TN","$110,000",2025-10-07,N/A
"313 DEERWOOD LN, Brentwood (086), TN","$7,000",2025-11-13,N/A
"1814 BURKE HOLLOW RD, Unincorporated (000), TN",N/A,2025-10-27,N/A
"2203 CAROUTH CT, Nolensville (535), TN","$531,000",2025-12-11,N/A
"9901 ELLAND RD, Brentwood (086), TN","$24,000",2025-12-16,N/A
"149 FOXHALL DR, Spring Hill (701), TN","$58,000",2025-12-08,N/A
"404 MADISON CT, Franklin (263967), TN","$769,000",2025-10-08,N/A
"4826 OLD BETHESDA-DUPLEX RD, Unincorporated (000), TN",N/A,2025-10-14,N/A
"128 BARLOW DR, Franklin (263967), TN","$113,000",2025-11-07,N/A
"3012 LONG BRANCH CIR, Franklin (263967), TN","$146,000",2025-10-16,N/A
"4633 JOHNNY BENNETT RD, Unincorporated (000), TN",TR2,2025-10-16,N/A
"2029 UNIVERSE CT, Nolensville (535), TN","$450,000",2025-12-03,N/A
"6007 TEMPLE RD, Unincorporated (000), TN","$1,000",2025-10-22,N/A
"OLD PEYTONSVILLE RD, Franklin (263967), TN",N/A,2025-11-07,N/A
"1083 AULDRIDGE DR, Spring Hill (701), TN","$161,000",2025-11-18,N/A
"1101 DOWNS BLVD #H-102, Franklin (263264), TN","$45,000",2025-10-22,N/A
"334 TRUMAN RD W, Franklin (263967), TN","$338,000",2025-12-03,N/A
"124 SHENANDOAH TRL, Unincorporated (000), TN","$141,000",2025-11-24,N/A
"6037 WHITMAN RD 103, Franklin (263967), TN",Unit 103,2025-11-21,N/A
"2795 IROQUOIS DR, Spring Hill (701), TN","$273,000",2025-10-30,N/A
"6312 CAROTENE PVT CT, Unincorporated (000), TN","$105,000",2025-10-30,N/A
"8221 ASHBURY CT, Unincorporated (000), TN","$458,000",2025-12-11,N/A
"301 FINNHORSE LN, Franklin (263967), TN","$922,000",2025-11-03,N/A
"5012 HAVEN HOLLOW PVT LN, Unincorporated (000), TN",TR1,2025-11-14,N/A
"105 SOUTHEAST PKWY #110, Franklin (263264), TN","$110,000",2025-11-19,N/A
"105 SOUTHEAST PKWY #113, Franklin (263264), TN","$113,000",2025-11-19,N/A
"105 SOUTHEAST PKWY #111, Franklin (263264), TN","$111,000",2025-11-19,N/A
"8420 HEIRLOOM BLVD, Unincorporated (000), TN","$6,059,000",2025-11-12,N/A
"1143 BUCKINGHAM CIR, Franklin (263264), TN","$11,000",2025-12-01,N/A
"549 TURTLE CREEK DR, Brentwood (086), TN","$49,000",2025-11-17,N/A
"128 RIDGEMONT PL, Franklin (263264), TN","$7,000",2025-10-16,N/A
"226 WRENNEWOOD LN, Franklin (263967), TN","$226,000",2025-11-18,N/A
"1923 BERRYS CHAPEL CT, Unincorporated (000), TN","$27,000",2025-11-21,N/A
"314 HWY 96 N, Fairview (255), TN",N/A,2025-12-15,N/A
"4025 TOMICH DR, Franklin (263967), TN","$83,000",2025-10-22,N/A
"1205 KILRUSH DR, Unincorporated (000), TN","$911,000",2025-12-11,N/A
"310 DEVONSHIRE DR, Franklin (263967), TN","$151,000",2025-10-07,N/A
"7501 OLD NASHVILLE RD, Fairview (255), TN",N/A,2025-10-23,N/A
"2149 SUGAR MILL DR, Nolensville (535), TN","$34,000",2025-10-30,N/A
"2229 ISAAC LN, Unincorporated (000), TN","$235,000",2025-12-01,N/A
"6699 CROSS KEYS RD, Unincorporated (000), TN",N/A,2025-11-06,N/A
"7934 PINE ST, Fairview (255), TN","$40,000",2025-11-26,N/A
"909 BRAIDWOOD LN, Franklin (263967), TN","$363,000",2025-12-16,N/A
"8024 SOUTHVALE BLVD, Franklin (263967), TN","$9,000",2025-12-02,N/A
"3239 GARDENDALE DR, Franklin (263967), TN","$3,149,000",2025-12-15,N/A
"7504 SUTCLIFF DR, Unincorporated (000), TN","$401,000",2025-11-25,N/A
"319 BUCKWOOD PVT LN, Spring Hill (701), TN","$10,000",2025-11-26,N/A
"797 SAINT CLAIR AVE, Spring Hill (701), TN","$192,000",2025-10-30,N/A
"4639 JOHNNY BENNETT RD, Unincorporated (000), TN",TR1,2025-10-31,N/A
"7005 KINDERHOOK RD, Unincorporated (000), TN","$814,000",2025-11-03,N/A
"263 SONTAG DR, Franklin (263264), TN","$295,000",2025-10-30,N/A
"1224 ADAMS ST, Franklin (263264), TN","$29,000",2025-10-30,N/A
"206 STILLCREEK DR, Franklin (263967), TN","$728,000",2025-10-23,N/A
"700 VINTAGE GREEN LN 102, Franklin (263967), TN",24 UNIT 102,2025-12-02,N/A
"144 GENERALS RETREAT PL, Franklin (263264), TN",N/A,2025-11-14,N/A
"3307 MILTON CT, Spring Hill (701), TN","$385,000",2025-11-25,N/A
"403 BUTTERFLY CT, Unincorporated (000), TN",N/A,2025-10-09,N/A
"7107 TIMBERLANE DR, Fairview (255), TN","$4,000",2025-10-07,N/A
"1746 LEWISBURG PK, Thompson's Station (718), TN",N/A,2025-12-02,N/A
"1732 LEWISBURG PK, Thompson's Station (718), TN",N/A,2025-10-29,N/A
"1748 LEWISBURG PK, Thompson's Station (718), TN",N/A,2025-11-10,N/A
"7211 DEERVALLEY DR, Fairview (255), TN",N/A,2025-11-24,N/A
"6306 ARNO RD, Unincorporated (000), TN","$4,000",2025-11-24,N/A
"1567 BUNBURY DR, Spring Hill (701), TN","$258,000",2025-11-20,N/A
"6097 PASQUO RD, Unincorporated (000), TN","$837,000",2025-11-25,N/A
"6101 PASQUO RD, Unincorporated (000), TN","$838,000",2025-11-13,N/A
"7216 HANWORTH ST, Fairview (255), TN","$11,000",2025-11-14,N/A
"3210 NATOMA CIR, Thompson's Station (718), TN",N/A,2025-11-24,N/A
"1011 MURFREESBORO RD #E-3, Franklin (263264), TN",E-3,2025-11-14,N/A
"5729 NATCHEZ TRACE RD, Unincorporated (000), TN","$2,000",2025-11-17,N/A
"408 STAFFORD CLOSE, Franklin (263967), TN","$1,975,000",2025-10-21,N/A
"2050 BEAMON DR, Franklin (263967), TN","$578,000",2025-11-12,N/A
"6000 KEATS ST 202, Franklin (263967), TN","$1,489,000",2025-10-24,N/A
"7019 CHARDON ST, Franklin (263967), TN","$119,000",2025-10-09,N/A
"8241 ASHBURY CT, Unincorporated (000), TN","$453,000",2025-11-20,N/A
"5001 FAIRHAVEN PVT CIR, Unincorporated (000), TN","$101,000",2025-12-19,N/A
"5037 FAIRHAVEN PVT CIR, Unincorporated (000), TN","$110,000",2025-12-19,N/A
"5081 FAIRHAVEN PVT CIR, Unincorporated (000), TN","$121,000",2025-12-02,N/A
"5008 FAIRHAVEN PVT CIR, Unincorporated (000), TN","$140,000",2025-12-19,N/A
"5209 FAIRHAVEN PVT CT, Unincorporated (000), TN","$144,000",2025-12-19,N/A
"5208 FAIRHAVEN PVT CT, Unincorporated (000), TN","$147,000",2025-12-19,N/A
"4025 POPLAR FARMS DR, Franklin (263967), TN","$30,000",2025-11-26,N/A
"GARRISON RD, Unincorporated (000), TN",N/A,2025-10-09,N/A
"816 APPOMATTOX PL, Franklin (263264), TN","$44,000",2025-12-09,N/A
"3549 CREAMERY BRIDGE RD, Thompson's Station (718), TN","$6,013,000",2025-10-27,N/A
"307 DEEP CREEK DR, Spring Hill (701), TN","$149,000",2025-11-17,N/A
"1123 BRENTWOOD POINTE, Brentwood (086), TN","$1,123,000",2025-10-17,N/A
"411 REIGH CT, Franklin (263967), TN","$146,000",2025-12-16,N/A
"1713 CHAMPIONSHIP BLVD, Franklin (263967), TN","$230,000",2025-10-15,N/A
"1003 EGRET CT, Spring Hill (701), TN","$195,000",2025-11-03,N/A
"7003 SULLY CT, Fairview (255), TN","$173,000",2025-10-14,N/A
"3066 POPLAR FARMS DR, Franklin (263967), TN","$102,000",2025-12-08,N/A
"7181 BOLTON ST, Franklin (263967), TN","$2,574,000",2025-12-18,N/A
"470 GRAND OAKS DR, Brentwood (086), TN","$7,000",2025-10-07,N/A
"5144 OLD HARDING RD, Unincorporated (000), TN",N/A,2025-10-16,N/A
"RUSSELL RD, Unincorporated (000), TN",N/A,2025-10-16,N/A
"101 WILLIAMSBURG PL, Franklin (263967), TN","$76,000",2025-11-06,N/A
"1061 SOUTHBROOKE BLVD, Franklin (263967), TN","$150,000",2025-12-01,N/A
"260 CHESTNUT LN, Franklin (263264), TN","$7,000",2025-10-09,N/A
"1061 CALICO ST, Franklin (263967), TN","$2,114,000",2025-10-14,N/A
"4212 PATE RD, Unincorporated (000), TN",N/A,2025-12-12,N/A
"5616 PINEWOOD RD, Unincorporated (000), TN",N/A,2025-12-08,N/A
"2801 KENNEDY CT, Franklin (263264), TN","$2,801,000",2025-10-30,N/A
"106 MISSION CT #304, Franklin (263264), TN","0122, 0304",2025-12-08,N/A
"6067 CONGRESS DR, Franklin (263967), TN","$2,667,000",2025-10-20,N/A
"1206 HOLLY HILL DR, Unincorporated (000), TN","$53,000",2025-11-14,N/A
"612 HUNT CT, Franklin (263264), TN","$45,000",2025-11-14,N/A
"1712 SOUTHWICK DR, Brentwood (086), TN","$90,000",2025-11-06,N/A
"7718 BARNHILL RD, Unincorporated (000), TN",TR8,2025-10-13,N/A
"5924 LUKE PVT CT, Unincorporated (000), TN","$433,000",2025-10-17,N/A
"5905 LUKE PVT CT, Unincorporated (000), TN","$439,000",2025-10-17,N/A
"5170 HIGH PARK HILL PVT DR, Unincorporated (000), TN","$424,000",2025-10-17,N/A
"6021 ELLIOTT PVT CT, Unincorporated (000), TN","$413,000",2025-10-17,N/A
"6017 ELLIOTT PVT CT, Unincorporated (000), TN","$412,000",2025-10-17,N/A
"1101 DOWNS BLVD #316, Franklin (263264), TN","$316,000",2025-10-29,N/A
"1907 EVERGREEN RD, Thompson's Station (718), TN",N/A,2025-11-26,N/A
"216 BRAMERTON CT, Unincorporated (000), TN","$121,000",2025-11-07,N/A
"7007 KIDMAN LN, Spring Hill (701), TN","$355,000",2025-11-05,N/A
"144 GLENROCK DR, Unincorporated (000), TN","$139,000",2025-12-01,N/A
"4077 KATHIE DR, Thompson's Station (718), TN","$22,000",2025-10-24,N/A
"6851 MANOR DR, Unincorporated (000), TN",N/A,2025-11-10,N/A
"311 LEDGELAWN PVT CT, Franklin (263264), TN","$4,000",2025-11-21,N/A
"6079 CONGRESS DR, Franklin (263967), TN","$2,665,000",2025-10-30,N/A
"905 LEIGH VALLEY DR, Unincorporated (000), TN","$13,000",2025-11-14,N/A
"3201 ASPEN GROVE DR #G-7, Franklin (263264), TN","0301, G-7",2025-10-28,N/A
"9665 SPLIT LOG RD, Brentwood (086), TN",N/A,2025-10-10,N/A
"144 SALTON LN, Spring Hill (701), TN","$134,000",2025-10-08,N/A
"154 SALTON LN, Spring Hill (701), TN","$138,000",2025-10-21,N/A
"125 CARPHILLY CIR, Franklin (263967), TN","$1,912,000",2025-11-05,N/A
"7108 MAPLESIDE LN, Fairview (255), TN","$1,000",2025-11-04,N/A
"3032 OLD HILLSBORO RD, Unincorporated (000), TN","$1,000",2025-11-11,N/A
"831 BRAIDWOOD LN, Franklin (263967), TN","$375,000",2025-11-17,N/A
"1050 NATCHEZ VALLEY LN, Unincorporated (000), TN","$121,000",2025-12-19,N/A
"4055 WILLIFORD WAY, Spring Hill (701), TN","$100,000",2025-11-17,N/A
"3004 SOMMETTE DR, Spring Hill (701), TN",N/A,2025-10-09,N/A
"1416 BRENTHAVEN DR, Brentwood (086), TN","$176,000",2025-10-09,N/A
"7019 GRACIOUS DR, Franklin (263967), TN","$207,000",2025-12-17,N/A
"112 ZOE CT, Franklin (263967), TN","$1,288,000",2025-10-22,N/A
"5936 PINEWOOD RD, Unincorporated (000), TN",N/A,2025-10-09,N/A
"7037 CHARDON ST, Franklin (263967), TN","$122,000",2025-11-14,N/A
"5066 AUNT NANNIES PLACE, Nolensville (535), TN","$4,132,000",2025-10-15,N/A
"2265 MAYTOWN CIR, Thompson's Station (718), TN","$1,747,000",2025-12-17,N/A
"5486 AYANA PVT DR, Unincorporated (000), TN","$212,000",2025-12-16,N/A
"1880 SUGAR RIDGE RD, Unincorporated (000), TN",N/A,2025-11-10,N/A
"5311 WADDELL HOLLOW RD, Unincorporated (000), TN",N/A,2025-11-12,N/A
"1305 MALLARD DR, Franklin (263264), TN","$76,000",2025-10-31,N/A
"5520 RATHKEALE LN, Unincorporated (000), TN","$226,000",2025-11-14,N/A
"152 RUE DE GRANDE, Brentwood (086), TN","$30,000",2025-11-24,N/A
"310 HURON DR, Spring Hill (701), TN","$117,000",2025-12-01,N/A
"1122 MILLSHED DR, Nolensville (535), TN","$71,000",2025-10-22,N/A
"7110 MAPLESIDE LN, Fairview (255), TN","$2,000",2025-11-10,N/A
"1929 SPRINGCROFT DR, Unincorporated (000), TN","$37,000",2025-11-12,N/A
"4430 PEYTONSVILLE RD, Franklin (263967), TN",N/A,2025-10-27,N/A
"4428 PEYTONSVILLE RD, Franklin (263967), TN",N/A,2025-10-29,N/A
"4440 PEYTONSVILLE RD, Franklin (263967), TN",N/A,2025-10-29,N/A
"9093 CHARDONNAY TR, Unincorporated (000), TN","$222,000",2025-11-17,N/A
"4918 MAIN ST #6, Spring Hill (701), TN","$6,000",2025-12-10,N/A
"5009 SPEIGHT ST, Spring Hill (701), TN","$624,000",2025-11-10,N/A
"8 WILD WING CT, Brentwood (086), TN","$225,000",2025-11-17,N/A
"9916 ELLAND RD, Brentwood (086), TN","$9,000",2025-10-22,N/A
"7206 HIDDEN LAKE DR, Fairview (255), TN",2C,2025-11-04,N/A
"7170 HORN TAVERN RD, Fairview (255), TN",2B,2025-11-04,N/A
"CHESTER RD, Fairview (255), TN",N/A,2025-12-02,N/A
"CHESTER RD, Fairview (255), TN","$2,000",2025-12-02,N/A
"7153 SOUTH SPRINGS DR, Franklin (263264), TN","$9,000",2025-12-11,N/A
"7045 LANCELEAF DR, Unincorporated (000), TN","$216,000",2025-12-05,N/A
"6826 FALLS RIDGE LN, Unincorporated (000), TN",N/A,2025-10-24,N/A
"7000 GILES HILL RD, Unincorporated (000), TN",TR2,2025-10-30,N/A
"1600 REED DR, Brentwood (086), TN",A-30,2025-10-21,N/A
"3225 ARUNDEL LN, Thompson's Station (718), TN","$219,000",2025-10-17,N/A
"8057 ATLEE CT, Unincorporated (000), TN","$331,000",2025-12-12,N/A
"676 CONIFER DR, Spring Hill (701), TN","$236,000",2025-10-30,N/A
"1021 ST GEORGES WAY, Unincorporated (000), TN","$7,000",2025-10-08,N/A
"1006 MORGANS LANDING CT, Brentwood (086), TN","$45,000",2025-12-18,N/A
"609 PEARRE SPRINGS WAY, Franklin (263967), TN","$551,000",2025-10-14,N/A
"2219 POTTER PLACE, Nolensville (535), TN","$41,000",2025-12-04,N/A
"1055 SWEETLEAF DR, Franklin (263967), TN","$146,000",2025-11-17,N/A
"9013 PASSIFLORA CT, Unincorporated (000), TN",N/A,2025-11-12,N/A
"1406 MOHER BLVD, Franklin (263967), TN","$18,000",2025-10-16,N/A
"3022 NARROW FORD LN, Franklin (263967), TN","$160,000",2025-10-31,N/A
"306 MONTROSE CT, Franklin (263967), TN","$129,000",2025-10-15,N/A
"6938 ARNO-ALLISONA RD, Unincorporated (000), TN",TR1,2025-11-07,N/A
"210 GARDENRIDGE DR, Unincorporated (000), TN","$64,000",2025-10-15,N/A
"1567 GLENELLEN WAY, Brentwood (086), TN","$41,000",2025-12-15,N/A
"2004 BRISBANE DR, Spring Hill (701), TN","$291,000",2025-11-17,N/A
"1608 ROSEWOOD DR, Brentwood (086), TN",C-17,2025-10-14,N/A
"1008 LUCAS CT, Unincorporated (000), TN","$90,000",2025-12-02,N/A
"9319 LAKE SHORE DR, Brentwood (086), TN","$92,000",2025-10-14,N/A
"329 BARONSWOOD DR, Nolensville (535), TN","$107,000",2025-11-07,N/A
"2048 GENERAL MARTIN LN, Franklin (263967), TN","$7,044,000",2025-12-18,N/A
"5507 BROKEN RDG HOLLOW LN, Unincorporated (000), TN","$3,000",2025-11-25,N/A
"7112 BAHNE RD, Unincorporated (000), TN",N/A,2025-11-20,N/A
"304 HAYMARKET CT, Franklin (263264), TN","$238,000",2025-10-29,N/A
"6025 PELICAN WAY, Unincorporated (000), TN",N/A,2025-12-03,N/A
"1039 HEMLOCK DR, Spring Hill (701), TN","$217,000",2025-12-10,N/A
"109 BAYHILL CIR, Franklin (263967), TN",N/A,2025-10-29,N/A
"7251 MURREL DR, Unincorporated (000), TN","$403,000",2025-11-18,N/A
"9008 KEATS ST, Franklin (263967), TN","$1,534,000",2025-12-04,N/A
"7188 CEDARCREST CT, Fairview (255), TN","$35,000",2025-12-17,N/A
"9619 DEER TRACK CT, Brentwood (086), TN","$90,000",2025-12-01,N/A
"7240 MURREL DR, Unincorporated (000), TN","$414,000",2025-10-17,N/A
"7520 SHOAL MILL PT, Fairview (255), TN","$53,000",2025-10-28,N/A
"1937 HARMONY RD, Spring Hill (701), TN","$247,000",2025-12-10,N/A
"110 CURRY CT, Franklin (263967), TN","$281,000",2025-12-12,N/A
"7168 CEDARCREST CT, Fairview (255), TN","$40,000",2025-12-12,N/A
"2711 HILLSBORO RD, Unincorporated (000), TN",N/A,2025-11-18,N/A
"14 ANGEL TR, Brentwood (086), TN","$193,000",2025-11-04,N/A
"306 CROOKED OAK CT, Franklin (263967), TN","$31,000",2025-10-17,N/A
"5170 WADDELL HOLLOW RD, Unincorporated (000), TN",N/A,2025-12-10,N/A
"1100 W MAIN ST #E-1, Franklin (263264), TN",E-1,2025-10-27,N/A
"1535 FLEETWOOD DR, Franklin (263967), TN","$1,283,000",2025-12-12,N/A
"1360 COLEMAN RD, Unincorporated (000), TN",N/A,2025-11-14,N/A
"315 BUCKWOOD PVT LN, Spring Hill (701), TN","$8,000",2025-12-22,N/A
"7415 SUGAR CAMP HOLLOW RD, Unincorporated (000), TN",N/A,2025-10-22,N/A
"111 WALTERS AVE, Franklin (263967), TN","$22,000",2025-11-04,N/A
"829 SHADE TREE LN, Franklin (263967), TN","$78,000",2025-10-28,N/A
"7112 MAPLESIDE LN, Fairview (255), TN","$3,000",2025-10-27,N/A
"143 SALTON LN, Spring Hill (701), TN","$130,000",2025-10-09,N/A
"1833 BRENTWOOD POINTE DR, Franklin (263264), TN","$1,833,000",2025-12-01,N/A
"9503 ELGIN WAY, Brentwood (086), TN","$70,000",2025-10-15,N/A
"1722 SOUTHWICK DR, Brentwood (086), TN","$85,000",2025-10-28,N/A
"228 EQUINE ST, Franklin (263967), TN","$64,000",2025-12-10,N/A
"1718 SOUTHWICK DR, Brentwood (086), TN","$87,000",2025-10-28,N/A
"232 EQUINE ST, Franklin (263967), TN","$65,000",2025-12-10,N/A
"1722 SOUTHWICK DR, Brentwood (086), TN","$85,000",2025-10-28,N/A
"224 EQUINE ST, Franklin (263967), TN","$63,000",2025-12-10,N/A
"3174 LONG BRANCH CIR, Franklin (263967), TN","$185,000",2025-10-08,N/A
"215 MAPLE DR, Franklin (263264), TN","$6,000",2025-10-08,N/A
"2851 POLO CLUB RD, Unincorporated (000), TN","$23,000",2025-12-02,N/A
"1769 LAVENDER RD, Unincorporated (000), TN","$1,000",2025-12-04,N/A
"2195 OSBURN RD, Unincorporated (000), TN",N/A,2025-11-24,N/A
"1544 RED OAK LN, Brentwood (086), TN","$604,000",2025-10-16,N/A
"9006 HEADWATERS DR, Franklin (263967), TN","$171,000",2025-10-24,N/A
"791 HIGH POINT RIDGE RD, Unincorporated (000), TN","$18,000",2025-11-24,N/A
"210 3RD AVE N, Franklin (263264), TN",N/A,2025-11-25,N/A
"8006 SOUTHVALE BLVD, Franklin (263967), TN","$6,000",2025-12-15,N/A
"8007 SOUTHVALE BLVD, Franklin (263967), TN","$32,000",2025-12-15,N/A
"OLD HARDING RD, Unincorporated (000), TN",N/A,2025-10-21,N/A
"6041 SUNRISE CIR, Franklin (263264), TN","$6,041,000",2025-10-21,N/A
"1406 COLEMAN RD, Unincorporated (000), TN",N/A,2025-12-09,N/A
"1077 MEANDERING WAY, Franklin (263967), TN","$240,000",2025-10-10,N/A
"750 SUNNYBROOK CT, Brentwood (086), TN","$37,000",2025-12-08,N/A
"1509 DECATUR CIR, Franklin (263967), TN","$507,000",2025-11-03,N/A
"4118 OXFORD GLEN DR, Unincorporated (000), TN",N/A,2025-10-07,N/A
"5041 FAIRHAVEN PVT CIR, Unincorporated (000), TN","$111,000",2025-12-09,N/A
"2904 BURTONWOOD DR, Spring Hill (701), TN","$110,000",2025-10-23,N/A
"304 FREEDOM DR, Franklin (263264), TN","$159,000",2025-10-28,N/A
"6771 ARNO-ALLISONA RD, Unincorporated (000), TN","$3,000",2025-10-28,N/A
